Training Start: 2025-12-23 10:55:43
Experiment Name: transformer_abs_rms
Config: {'exp_name': 'transformer_abs_rms', 'train_file': 'train_100k.jsonl', 'valid_file': 'valid.jsonl', 'src_field': 'zh', 'tgt_field': 'en', 'batch_size': 64, 'lr': 0.0005, 'epochs': 20, 'seed': 42, 'model_type': 'transformer', 'hidden_size': 256, 'attn_method': 'dot', 'tf_ratio': 0.5, 'd_model': 256, 'nhead': 4, 'num_layers': 3, 'norm_type': 'rms'}
--------------------------------------------------
Mode: TRANSFORMER | Save Name: transformer_abs_rms
Vocab: Src=15000, Tgt=15000
Transformer Init: d_model=256, layers=3, norm=rms
Epoch 1 | Train Loss: 5.2279 | Valid Loss: 5.0835 | Valid BLEU: 6.28
!! New Best BLEU (6.28) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 2 | Train Loss: 4.3697 | Valid Loss: 4.7953 | Valid BLEU: 6.56
!! New Best BLEU (6.56) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 3 | Train Loss: 4.0029 | Valid Loss: 4.6574 | Valid BLEU: 8.34
!! New Best BLEU (8.34) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 4 | Train Loss: 3.7701 | Valid Loss: 4.5375 | Valid BLEU: 9.15
!! New Best BLEU (9.15) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 5 | Train Loss: 3.5992 | Valid Loss: 4.4699 | Valid BLEU: 8.59
Epoch 6 | Train Loss: 3.4671 | Valid Loss: 4.4366 | Valid BLEU: 9.03
Epoch 7 | Train Loss: 3.3617 | Valid Loss: 4.4324 | Valid BLEU: 8.99
Epoch 8 | Train Loss: 3.2725 | Valid Loss: 4.4181 | Valid BLEU: 9.64
!! New Best BLEU (9.64) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 9 | Train Loss: 3.1997 | Valid Loss: 4.4067 | Valid BLEU: 10.11
!! New Best BLEU (10.11) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 10 | Train Loss: 3.1356 | Valid Loss: 4.4083 | Valid BLEU: 10.26
!! New Best BLEU (10.26) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 11 | Train Loss: 3.0796 | Valid Loss: 4.3920 | Valid BLEU: 10.28
!! New Best BLEU (10.28) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 12 | Train Loss: 3.0294 | Valid Loss: 4.3945 | Valid BLEU: 10.59
!! New Best BLEU (10.59) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 13 | Train Loss: 2.9845 | Valid Loss: 4.3708 | Valid BLEU: 10.00
Epoch 14 | Train Loss: 2.9435 | Valid Loss: 4.3809 | Valid BLEU: 11.10
!! New Best BLEU (11.10) !! Saving to checkpoints/transformer_abs_rms_best.pt
Epoch 15 | Train Loss: 2.9072 | Valid Loss: 4.4000 | Valid BLEU: 10.34
Epoch 16 | Train Loss: 2.8746 | Valid Loss: 4.3758 | Valid BLEU: 10.60
Epoch 17 | Train Loss: 2.8420 | Valid Loss: 4.3890 | Valid BLEU: 10.10
Epoch 18 | Train Loss: 2.8144 | Valid Loss: 4.3491 | Valid BLEU: 10.39
Epoch 19 | Train Loss: 2.7867 | Valid Loss: 4.3875 | Valid BLEU: 10.89
Epoch 20 | Train Loss: 2.7617 | Valid Loss: 4.4066 | Valid BLEU: 11.39
!! New Best BLEU (11.39) !! Saving to checkpoints/transformer_abs_rms_best.pt
